disease,url
FA,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=95
Facies aislada asimétrica de aspecto lloroso,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=1166
Facio-audio-sinfalangismo,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=3237
Facomatosis cesioflammea,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=79483
Facomatosis cesiomarmorata,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=79484
Facomatosis pigmento-querátótica,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=2874
Facomatosis pigmentovascular,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=2875
Facomatosis pigmentovascular tipo 2,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=79483
Facomatosis pigmentovascular tipo 3,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=79485
Facomatosis pigmentovascular tipo 5,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=79484
Facomatosis spilorosea,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=79485
FACS,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=370068
Factores de coagulación vitamina K-dependientes congénitos,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=169826
Factor V Quebec,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=220436
FACU,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=300359
FADS,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=994
FAHN,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=329308
Falanges supernumerarias,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=295002
Falange supernumeraria,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=295002
Fallo autonómico puro,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=441
Fallo en el conducto mulleriano e hiperandrogenismo,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=247768
Fallo hepático agudo,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=90062
Fallo hepático fulminante,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=90062
Fallo hepático infantil agudo por un defecto de síntesis de las proteínas codificadas por el ADNm,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=217371
Fallo hepático infantil agudo por un defecto de síntesis de las proteínas codificadas por el ADN mitocondrial,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=217371
Fallo idiopático de la médula ósea,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=88
Fallo ovárico prematuro genético no adquirido,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=485382
Fallo suprarrenal agudo,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=95409
Falta de adhesión de la retina congénita no sindrómica,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=91495
FAME,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=86814
FAP,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=441
FAP atenuada,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=220460
FAP atenuada ligada a AXIN2,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=401911
Fascitis difusa con eosinofilia,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=3165
Fascitis eosinofílica,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=3165
Fascitis nodular,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=477742
Fascitis pseudosarcomatosa,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=477742
FBH,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=405
FBHH,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=405
FCAS,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=47045
FCAS2,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=247868
FCCTX,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=440437
FCD,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=98970
FCD tipo I,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=268961
FCD tipo Ia,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=268973
FCD tipo Ib,https://www.orpha.net/consor4.01/www/cgi-bin/OC_Exp.php?lng=ES&Expert=268980
